ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
3615.0	16.551	5.102	17.976	16.83	16.814	19.053	1.829
3620.0	16.541	5.206	17.949	16.66	16.909	18.939	1.925
3625.0	16.296	5.137	17.948	16.859	16.76	19.264	1.81
3630.0	16.62	5.169	18.017	16.878	16.679	19.06	1.707
3635.0	16.318	5.096	17.886	16.91	17.109	18.98	1.814
3640.0	16.433	5.23	18.2	16.802	16.682	19.122	1.781
3645.0	16.536	5.167	18.067	16.947	16.866	18.726	1.758
3650.0	16.648	5.243	18.174	16.803	16.749	18.87	1.704
3655.0	16.692	5.26	18.019	16.812	16.636	18.884	1.799
3660.0	16.62	5.164	18.279	16.647	16.988	18.728	1.66
3665.0	16.828	5.354	18.053	16.934	16.749	18.58	1.669
3670.0	16.599	5.085	18.302	16.605	17.037	18.75	1.764
3675.0	16.562	5.212	18.098	16.745	17.084	18.608	1.656
3680.0	16.958	5.223	18.173	16.525	17.129	18.597	1.623
3685.0	16.693	5.258	18.34	16.769	16.851	18.553	1.647
3690.0	16.746	5.415	18.217	16.89	16.603	18.581	1.622
3695.0	16.782	5.244	18.419	16.453	16.998	18.465	1.615
3700.0	16.805	5.259	18.267	16.555	17.067	18.529	1.583
3705.0	16.846	5.378	18.076	16.684	16.884	18.571	1.575
3710.0	16.744	5.308	18.397	16.804	17.019	18.295	1.581
3715.0	16.78	5.407	18.398	16.646	17.12	18.224	1.512
3720.0	17.04	5.27	18.138	16.805	16.909	18.294	1.611
3725.0	16.948	5.205	18.501	16.697	16.995	18.19	1.54
3730.0	16.869	5.423	18.29	16.747	16.951	18.302	1.519
3735.0	17.28	5.354	18.128	16.705	16.992	18.066	1.488
3740.0	16.922	5.341	18.496	16.66	16.971	18.161	1.496
3745.0	17.038	5.458	18.246	16.577	17.179	18.098	1.44
3750.0	16.992	5.463	18.459	16.62	17.148	17.953	1.488
3755.0	17.025	5.445	18.346	16.614	17.166	18.073	1.442
3760.0	17.112	5.33	18.486	16.639	16.865	18.179	1.402
3765.0	17.209	5.423	18.728	16.622	16.716	17.968	1.45
3770.0	17.235	5.44	18.502	16.74	17.023	17.741	1.407
